id,x_mm,y_mm,tip_z_mm
0,16.2,12.0,15.0
1,30.4,35.7,15.5
2,42.6,20.7,10.5
3,58.1,10.1,9.5
4,68.0,31.1,24.5
5,83.5,18.7,25.5
6,97.6,35.0,14.0
7,111.4,16.3,26.5
8,123.7,25.9,20.5
9,138.7,41.3,20.0
10,146.9,22.2,34.0
11,164.1,13.2,30.0
12,175.5,30.7,42.0
13,190.4,18.7,25.0
14,203.0,28.2,11.0
15,215.3,40.1,29.5
16,227.7,30.6,40.5
17,238.1,41.8,18.0
18,256.1,17.7,32.0
19,266.4,30.7,45.5
20,277.1,13.7,24.0
21,290.8,34.1,13.0
22,304.0,16.4,42.5
23,318.7,37.6,16.0
24,329.8,23.3,26.0
25,345.9,38.0,11.5
26,360.8,17.5,27.0
27,371.2,38.1,18.5
28,387.9,13.1,32.5
29,395.8,24.5,21.0
30,411.6,8.1,27.5
31,423.6,20.6,10.0
32,437.6,40.4,8.0
33,451.5,25.5,19.0
34,464.1,9.8,9.0
35,479.1,34.5,12.0
